ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Khoitam-8-1-1,Khoitam-8-1,mɔ̃ː,59,false,expert,,m ɔ̃ː -,,,1
Rahung-8-1-1,Rahung-8-1,mɔ̃ː,59,false,expert,,m ɔ̃ː -,,,1
Rupa-8-1-1,Rupa-8-1,mɔ̃ː,59,false,expert,,m ɔ̃ː -,,,1
Khispi-9-1-1,Khispi-9-1,si,60,false,expert,,s i,,,1
Duhumbi-9-1-1,Duhumbi-9-1,si,60,false,expert,,s i,,,1
Khoina-9-1-1,Khoina-9-1,saː,60,false,expert,,s aː,,,1
Jerigaon-9-1-1,Jerigaon-9-1,sɛː,60,false,expert,,s ɛː,,,1
Khoitam-9-1-1,Khoitam-9-1,sɛ,60,false,expert,,s ɛ,,,1
Rahung-9-1-1,Rahung-9-1,sɛˀ,60,false,expert,,s ɛˀ,,,1
Rupa-9-1-1,Rupa-9-1,saː,60,false,expert,,s aː,,,1
Shergaon-9-1-1,Shergaon-9-1,saː,60,false,expert,,s aː,,,1
Khispi-10-1-1,Khispi-10-1,la-kʰuŋ,62,false,expert,,l a,,,1
Khispi-10-1-2,Khispi-10-1,la-kʰuŋ,61,false,expert,,kʰ u ŋ,,,2
Duhumbi-10-1-1,Duhumbi-10-1,la-kʰuŋ,62,false,expert,,l a,,,1
Duhumbi-10-1-2,Duhumbi-10-1,la-kʰuŋ,61,false,expert,,kʰ u ŋ,,,2
Khoina-10-1-1,Khoina-10-1,la-kʰyŋ,62,false,expert,,l a,,,1
Khoina-10-1-2,Khoina-10-1,la-kʰyŋ,61,false,expert,,kʰ y ŋ,,,2
Rahung-10-1-1,Rahung-10-1,la-kʰyŋ,62,false,expert,,l a,,,1
Rahung-10-1-2,Rahung-10-1,la-kʰyŋ,61,false,expert,,kʰ y ŋ,,,2
Rupa-10-1-1,Rupa-10-1,də-kʰyŋ,62,false,expert,,d ə,,,1
Rupa-10-1-2,Rupa-10-1,də-kʰyŋ,61,false,expert,,kʰ y ŋ,,,2
Khoina-11-1-1,Khoina-11-1,na-jɔ-tøn,64,false,expert,,n a,,,1
Khoina-11-1-2,Khoina-11-1,na-jɔ-tøn,48,false,expert,,j ɔ,,,2
Khoina-11-1-3,Khoina-11-1,na-jɔ-tøn,66,false,expert,,t ø n,,,3
Jerigaon-11-1-1,Jerigaon-11-1,ny-jɔ-tɛn,64,false,expert,,n y,,,1
Jerigaon-11-1-2,Jerigaon-11-1,ny-jɔ-tɛn,48,false,expert,,j ɔ,,,2
Jerigaon-11-1-3,Jerigaon-11-1,ny-jɔ-tɛn,66,false,expert,,t ɛ n,,,3
Khoitam-11-1-1,Khoitam-11-1,ny-jɔ,64,false,expert,,n y,,,1
Khoitam-11-1-2,Khoitam-11-1,ny-jɔ,48,false,expert,,j ɔ,,,2
Rahung-11-1-1,Rahung-11-1,ny-jɔ,64,false,expert,,n y,,,1
Rahung-11-1-2,Rahung-11-1,ny-jɔ,48,false,expert,,j ɔ,,,2
Rupa-11-1-1,Rupa-11-1,ɲaw,518,false,expert,,ɲ au,,,1
Shergaon-11-1-1,Shergaon-11-1,ɲaw,518,false,expert,,ɲ au,,,1
Khispi-12-1-1,Khispi-12-1,-ɔ,67,false,expert,,ɔ,,,1
Duhumbi-12-1-1,Duhumbi-12-1,-ɔˀ,67,false,expert,,ɔˀ,,,1
Khoitam-12-1-1,Khoitam-12-1,-ɔ,67,false,expert,,ɔ,,,1
Rahung-12-1-1,Rahung-12-1,-ɔ,67,false,expert,,ɔ,,,1
Rupa-12-1-1,Rupa-12-1,-ɔ̃,67,false,expert,,ɔ̃,,,1
Khispi-13-1-1,Khispi-13-1,ɔ-haŋ,68,false,expert,,ɔ,,,1
Khispi-13-1-2,Khispi-13-1,ɔ-haŋ,69,false,expert,,h a ŋ,,,2
Duhumbi-13-1-1,Duhumbi-13-1,u-kʰaŋ,68,false,expert,,u,,,1
Duhumbi-13-1-2,Duhumbi-13-1,u-kʰaŋ,69,false,expert,,kʰ a ŋ,,,2
Khoitam-13-1-1,Khoitam-13-1,a-haŋ,68,false,expert,,a,,,1
Khoitam-13-1-2,Khoitam-13-1,a-haŋ,69,false,expert,,h a ŋ,,,2
Rahung-13-1-1,Rahung-13-1,a-haŋ,68,false,expert,,a,,,1
Rahung-13-1-2,Rahung-13-1,a-haŋ,69,false,expert,,h a ŋ,,,2
Rupa-13-1-1,Rupa-13-1,a-haŋ-ba,68,false,expert,,a,,,1
Rupa-13-1-2,Rupa-13-1,a-haŋ-ba,69,false,expert,,h a ŋ,,,2
Rupa-13-1-3,Rupa-13-1,a-haŋ-ba,70,false,expert,,b a,,,3
Shergaon-13-1-1,Shergaon-13-1,a-haŋ,68,false,expert,,a,,,1
Shergaon-13-1-2,Shergaon-13-1,a-haŋ,69,false,expert,,h a ŋ,,,2
Khoina-14-1-1,Khoina-14-1,a-tʰɔn-ʥi,56,false,expert,,a,,,1
Khoina-14-1-2,Khoina-14-1,a-tʰɔn-ʥi,71,false,expert,,tʰ ɔ n,,,2
